location,size,total_sqft,bath,price,bhk,price_per_sqft
Nizampet,2 BHK,1056.0,2.0,39.07,2,3699.810606060606
Hitech City,4 Bedroom,2600.0,5.0,120.0,4,4615.384615384615
Alwal,3 BHK,1521.0,3.0,95.0,3,6245.890861275477
Nizampet,2 BHK,1170.0,2.0,38.0,2,3247.863247863248
Hyder Nagar,4 Bedroom,2785.0,5.0,295.0,4,10592.45960502693
Mehdipatnam,2 BHK,1000.0,2.0,38.0,2,3800.0
Narsingi,3 Bedroom,2250.0,3.0,148.0,3,6577.777777777777
Khajaguda Nanakramguda Road,2 BHK,1175.0,2.0,73.5,2,6255.31914893617
Kukatpally,3 BHK,1180.0,3.0,48.0,3,4067.7966101694915
Madhapur,3 BHK,1540.0,3.0,60.0,3,3896.103896103896
Tellapur,3 BHK,2770.0,4.0,290.0,3,10469.314079422382
Hitech City,3 BHK,1755.0,3.0,122.0,3,6951.5669515669515
Manikonda,4 Bedroom,2800.0,5.0,380.0,4,13571.42857142857
Kukatpally,1 RK,510.0,1.0,25.25,1,4950.980392156863
Manikonda,2 BHK,660.0,1.0,23.1,2,3500.0
Tellapur,2 BHK,1151.0,2.0,48.77,2,4237.185056472633
Gachibowli,3 BHK,1025.0,2.0,47.0,3,4585.365853658536
Kokapet,4 BHK,2475.0,4.0,186.0,4,7515.151515151515
Hyder Nagar,3 BHK,1075.0,2.0,35.0,3,3255.813953488372
Mehdipatnam,3 BHK,1760.0,2.0,123.0,3,6988.636363636364
Tellapur,3 BHK,1693.0,3.0,57.39,3,3389.84051978736
Khajaguda Nanakramguda Road,2 BHK,700.0,2.0,36.0,2,5142.857142857143
Madhapur,3 BHK,1724.0,3.0,125.0,3,7250.580046403712
Narsingi,3 BHK,1254.0,3.0,38.0,3,3030.3030303030305
Begumpet,1 BHK,600.0,1.0,38.0,1,6333.333333333333
Nizampet,2 BHK,1330.74,2.0,91.79,2,6897.665960292769
Banjara Hills,2 BHK,970.0,2.0,33.0,2,3402.061855670103
AS Rao Nagar,2 BHK,1459.0,2.0,94.82,2,6498.971898560658
Mallampet,2 BHK,1270.0,2.0,50.0,2,3937.0078740157483
Nanakramguda,3 BHK,1670.0,3.0,99.0,3,5928.143712574851
Mallampet,3 BHK,2010.0,3.0,91.0,3,4527.363184079602
Attapur,2 BHK,1185.0,2.0,75.0,2,6329.113924050633
Alwal,3 BHK,1600.0,2.0,75.0,3,4687.5
Nanakramguda,2 BHK,1200.0,2.0,44.0,2,3666.6666666666665
Nizampet,2 BHK,1500.0,2.0,185.0,2,12333.333333333334
Manikonda,2 BHK,845.0,2.0,55.0,2,6508.87573964497
Puppalaguda,4 Bedroom,5700.0,5.0,650.0,4,11403.508771929824
Kompally,2 BHK,1160.0,2.0,44.0,2,3793.103448275862
Pocharam,2 BHK,1140.0,2.0,43.0,2,3771.9298245614036
Manikonda,2 BHK,1358.0,2.0,80.58,2,5933.726067746687
Masab Tank,3 BHK,1569.0,3.0,101.0,3,6437.221159974506
Miyapur,2 BHK,1240.0,2.0,70.0,2,5645.1612903225805
Kondapur,3 BHK,2089.0,3.0,140.0,3,6701.771182383915
Uppal Kalan,3 BHK,2511.0,3.0,205.0,3,8164.078056551175
Miyapur,3 BHK,1660.0,2.0,105.0,3,6325.301204819277
Rajendra Nagar,2 BHK,1326.0,2.0,78.0,2,5882.35294117647
Beeramguda,3 BHK,1499.0,5.0,102.0,3,6804.536357571715
Bachupally,2 BHK,708.0,2.0,37.0,2,5225.988700564972
Toli Chowki,2 BHK,1060.0,2.0,58.06,2,5477.358490566037
Nanakramguda,2 BHK,1000.0,2.0,70.0,2,7000.0
Kondapur,2 BHK,1296.0,2.0,80.0,2,6172.83950617284
Kistareddypet,4 Bedroom,2894.0,4.0,245.0,4,8465.791292328957
Shaikpet,3 BHK,2502.0,3.0,138.0,3,5515.587529976019
Amberpet,2 BHK,650.0,1.0,17.0,2,2615.3846153846152
Kokapet,3 Bedroom,2400.0,2.0,150.0,3,6250.0
Hitech City,2 BHK,1007.0,2.0,43.0,2,4270.109235352532
Nagole,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
AS Rao Nagar,3 BHK,1640.0,3.0,229.0,3,13963.414634146342
Kapra,2 BHK,1260.0,2.0,66.78,2,5300.0
West Marredpally,3 BHK,1413.0,2.0,75.0,3,5307.855626326964
Puppalaguda,2 BHK,1116.0,2.0,51.91,2,4651.433691756272
Trimalgherry,3 BHK,1530.0,2.0,45.9,3,3000.0
Sanath Nagar,3 Bedroom,2497.0,3.0,140.0,3,5606.728073688426
Darga Khaliz Khan,3 BHK,1540.0,2.0,64.0,3,4155.8441558441555
Nizampet,3 BHK,1427.0,3.0,120.0,3,8409.250175192712
Nizampet,3 BHK,2061.0,3.0,200.0,3,9704.02717127608
Nizampet,4 BHK,5611.5,4.0,477.0,4,8500.400962309543
Nizampet,3 BHK,1282.0,2.0,68.52,3,5344.773790951638
Nizampet,3 BHK,1600.0,3.0,65.0,3,4062.5
Nizampet,2 BHK,1500.0,2.0,78.0,2,5200.0
Nizampet,3 BHK,1870.0,3.0,110.0,3,5882.35294117647
Manikonda,3 Bedroom,1600.0,3.0,75.0,3,4687.5
Manikonda,2 BHK,880.0,1.0,16.5,2,1875.0
Manikonda,3 BHK,1535.0,3.0,83.0,3,5407.166123778502
Manikonda,2 BHK,950.0,2.0,57.0,2,6000.0
Manikonda,2 BHK,1360.0,2.0,65.0,2,4779.411764705882
Manikonda,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
Manikonda,3 BHK,1260.0,2.0,85.05,3,6750.0
Manikonda,5 BHK,3050.0,5.0,213.0,5,6983.606557377049
Manikonda,3 BHK,1563.05,3.0,105.0,3,6717.635392341896
Manikonda,2 BHK,1167.0,2.0,43.76,2,3749.7857754927163
Manikonda,2 BHK,890.0,2.0,35.0,2,3932.5842696629215
Manikonda,3 BHK,1612.0,3.0,46.74,3,2899.5037220843674
Kothaguda,3 BHK,1710.0,4.0,91.31,3,5339.766081871345
Kompally,2 BHK,957.0,2.0,58.0,2,6060.606060606061
Tellapur,2 BHK,1125.0,2.0,50.0,2,4444.444444444444
Tellapur,2 BHK,1020.0,2.0,30.6,2,3000.0
Sanath Nagar,3 BHK,1735.0,3.0,135.0,3,7780.979827089337
Manikonda,3 BHK,2050.0,3.0,145.0,3,7073.170731707317
Kukatpally,2 BHK,1063.0,2.0,32.0,2,3010.348071495767
Nizampet,3 BHK,1904.0,3.0,150.0,3,7878.151260504202
Gachibowli,3 BHK,2000.0,3.0,175.0,3,8750.0
Gachibowli,2 BHK,1242.5,2.0,43.49,2,3500.201207243461
Gachibowli,3 BHK,1425.0,2.0,75.0,3,5263.1578947368425
Gachibowli,3 BHK,1500.0,2.0,64.5,3,4300.0
Gachibowli,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
Gachibowli,3 BHK,1470.0,2.0,70.0,3,4761.9047619047615
Gachibowli,1 BHK,450.0,1.0,11.0,1,2444.4444444444443
Moosapet,2 BHK,1152.0,2.0,64.5,2,5598.958333333333
Balanagar,3 BHK,1350.0,2.0,56.0,3,4148.148148148148
Kokapet,3 BHK,1550.0,3.0,65.0,3,4193.548387096775
Kokapet,1 BHK,705.0,1.0,67.0,1,9503.54609929078
Kokapet,2 BHK,770.0,1.0,36.0,2,4675.324675324675
Kokapet,2 BHK,1242.0,2.0,51.0,2,4106.280193236715
Kokapet,3 BHK,1700.0,3.0,155.0,3,9117.64705882353
Kokapet,3 BHK,2144.0,3.0,145.0,3,6763.059701492537
Jubilee Hills,3 BHK,1704.0,3.0,110.0,3,6455.399061032864
Kokapet,2 BHK,1070.0,2.0,52.0,2,4859.813084112149
Tellapur,2 BHK,1025.0,2.0,46.0,2,4487.804878048781
Narsingi,2 BHK,1277.5,2.0,56.8,2,4446.183953033268
Narsingi,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
raidurgam,3 BHK,1550.0,2.0,80.0,3,5161.290322580645
Pragathi Nagar Kukatpally,2 BHK,1200.0,2.0,60.0,2,5000.0
Banjara Hills,2 BHK,1327.0,2.0,98.0,2,7385.079125847777
Miyapur,3 BHK,1400.0,3.0,56.0,3,4000.0
Miyapur,2 BHK,1225.0,2.0,47.6,2,3885.714285714286
Murad Nagar,3 BHK,1260.0,2.0,54.0,3,4285.714285714285
Tellapur,3 BHK,1282.0,2.0,48.7,3,3798.751950078003
Puppalaguda,3 BHK,1909.0,3.0,88.0,3,4609.743321110529
Tellapur,2 BHK,1359.0,2.0,87.0,2,6401.766004415011
Chandanagar,3 BHK,1595.0,3.0,65.0,3,4075.2351097178685
Nizampet,3 BHK,1475.0,3.0,78.29,3,5307.796610169492
Hitech City,3 BHK,1580.0,3.0,100.0,3,6329.113924050633
Manikonda,2 BHK,1295.0,2.0,65.0,2,5019.305019305019
Nizampet,1 BHK,589.0,1.0,27.0,1,4584.040747028863
Nizampet,3 BHK,1787.0,3.0,98.29,3,5500.279798545048
Chandanagar,3 BHK,1787.0,3.0,125.0,3,6994.963626189144
Nizampet,3 BHK,1475.0,2.0,90.0,3,6101.6949152542375
Hitech City,2 BHK,984.0,2.0,44.28,2,4500.0
Nizampet,3 BHK,2405.0,4.0,260.0,3,10810.81081081081
Nizampet,2 BHK,1080.0,2.0,72.0,2,6666.666666666667
Nizampet,2 BHK,1153.0,2.0,56.4,2,4891.587163920208
Nizampet,2 BHK,1148.0,2.0,60.0,2,5226.480836236934
Nizampet,2 BHK,1110.0,2.0,55.0,2,4954.954954954955
Kukatpally,2 BHK,1100.0,2.0,42.0,2,3818.181818181818
Kukatpally,2 BHK,1290.0,2.0,110.0,2,8527.131782945737
East Marredpally,3 BHK,1933.0,3.0,129.0,3,6673.564407656492
Mallampet,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
Banjara Hills,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
Hitech City,3 BHK,1644.0,3.0,84.0,3,5109.489051094891
Manikonda,2 BHK,1285.0,2.0,72.5,2,5642.023346303502
Aminpur,2 BHK,910.0,2.0,40.0,2,4395.604395604396
Aminpur,3 BHK,1577.0,3.0,70.0,3,4438.807863031072
Aminpur,3 Bedroom,4050.0,3.0,280.0,3,6913.580246913581
Aminpur,3 BHK,2420.0,3.0,185.0,3,7644.628099173554
Aminpur,2 BHK,800.0,1.0,20.0,2,2500.0
Aminpur,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
Aminpur,2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
Mallampet,3 BHK,3045.0,3.0,170.0,3,5582.922824302134
Mallampet,4 Bedroom,2900.0,3.0,300.0,4,10344.827586206897
Mallampet,3 BHK,1500.0,3.0,75.5,3,5033.333333333333
Mallampet,2 BHK,1295.0,2.0,43.9,2,3389.96138996139
Kondapur,2 BHK,1162.0,2.0,59.9,2,5154.9053356282275
Aminpur,2 BHK,1035.0,2.0,49.2,2,4753.623188405797
Kondapur,4 Bedroom,1600.0,4.0,52.8,4,3300.0
Mallampet,3 BHK,1866.0,2.0,61.58,3,3300.10718113612
Tellapur,2 BHK,700.0,1.0,26.0,2,3714.285714285714
Manikonda,3 BHK,1804.0,3.0,120.0,3,6651.884700665189
Mallapur,3 BHK,1868.0,3.0,131.0,3,7012.847965738758
Mallampet,3 BHK,2026.0,3.0,132.0,3,6515.301085883514
Mallampet,2 BHK,1210.0,2.0,80.9,2,6685.950413223141
Kondapur,4 Bedroom,4111.0,4.0,250.0,4,6081.24543906592
Alwal,3 BHK,1762.0,3.0,91.45,3,5190.124858115778
Gajularamaram,3 BHK,1252.0,3.0,55.0,3,4392.97124600639
Serilingampally,2 BHK,861.0,2.0,34.5,2,4006.968641114983
Gajularamaram,3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
Kukatpally,3 BHK,1490.0,3.0,78.8,3,5288.5906040268455
East Marredpally,3 BHK,1425.0,2.0,94.0,3,6596.491228070176
Hitech City,2 BHK,1200.0,2.0,40.0,2,3333.3333333333335
Serilingampally,2 BHK,1084.0,2.0,50.0,2,4612.546125461255
West Marredpally,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
West Marredpally,2 BHK,1017.0,2.0,51.25,2,5039.331366764995
Kukatpally,2 BHK,1069.0,2.0,45.0,2,4209.541627689429
Kukatpally,2 BHK,1349.0,2.0,98.2,2,7279.466271312083
Kukatpally,2 BHK,1005.0,2.0,50.0,2,4975.124378109453
Kukatpally,2 BHK,1417.0,2.0,75.0,2,5292.87226534933
Kondapur,2 BHK,950.0,2.0,47.0,2,4947.368421052632
Kondapur,4 BHK,2000.0,4.0,120.0,4,6000.0
AS Rao Nagar,4 BHK,1863.0,3.0,104.0,4,5582.393988191089
Malkajgiri,2 BHK,1010.0,2.0,29.5,2,2920.792079207921
Malkajgiri,3 BHK,1425.0,2.0,70.0,3,4912.2807017543855
Malkajgiri,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
Malkajgiri,3 BHK,1847.0,3.0,105.0,3,5684.89442338928
Malkajgiri,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
Malkajgiri,1 BHK,525.0,1.0,26.0,1,4952.380952380952
Malkajgiri,3 BHK,1665.0,3.0,95.0,3,5705.705705705705
Malkajgiri,4 BHK,1664.0,4.0,65.0,4,3906.25
Malkajgiri,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
Malkajgiri,2 BHK,1438.0,2.0,100.0,2,6954.102920723227
Kokapet,3 BHK,1560.0,3.0,115.0,3,7371.794871794872
Kondapur,3 BHK,1550.0,3.0,67.0,3,4322.580645161291
Alwal,2 BHK,1280.0,2.0,75.0,2,5859.375
West Marredpally,2 BHK,1113.0,2.0,51.0,2,4582.210242587601
Mettuguda,2 BHK,1385.0,2.0,83.09,2,5999.27797833935
Banjara Hills,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
Kondapur,3 BHK,2390.0,3.0,415.0,3,17364.016736401674
Kukatpally,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Jubilee Hills,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
Jubilee Hills,3 BHK,1150.0,2.0,55.0,3,4782.608695652174
Kondapur,3 BHK,1645.0,3.0,95.0,3,5775.075987841945
Narsingi,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
Nizampet,3 BHK,2135.0,3.0,215.0,3,10070.257611241217
Nizampet,2 BHK,1173.0,2.0,58.0,2,4944.58653026428
Narsingi,2 BHK,1020.0,2.0,45.0,2,4411.764705882353
Narsingi,4 BHK,3122.0,6.0,230.0,4,7367.072389493914
Nizampet,2 BHK,1250.0,2.0,40.0,2,3200.0
Nizampet,2 BHK,1325.0,2.0,76.0,2,5735.8490566037735
Nizampet,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
Sri Nagar Colony,3 BHK,1260.0,3.0,49.36,3,3917.4603174603176
Malkajgiri,3 BHK,1800.0,3.0,150.0,3,8333.333333333334
Malkajgiri,3 Bedroom,11.0,3.0,74.0,3,672727.2727272727
Mehdipatnam,2 BHK,1100.0,2.0,43.25,2,3931.818181818182
Gajularamaram,2 BHK,1508.0,2.0,77.0,2,5106.100795755968
Venkat Nagar Colony,3 BHK,1592.0,3.0,75.0,3,4711.05527638191
Kukatpally,2 BHK,1388.0,2.0,57.0,2,4106.628242074928
Kokapet,1 BHK,630.0,1.0,28.35,1,4500.0
Kondapur,4 BHK,3252.0,5.0,335.0,4,10301.353013530135
Tellapur,2 BHK,1116.0,2.0,50.0,2,4480.286738351255
Banjara Hills,2 BHK,1308.0,2.0,89.04,2,6807.339449541284
Gajularamaram,2 BHK,1075.0,2.0,52.0,2,4837.209302325581
Gajularamaram,1 BHK,530.0,1.0,11.66,1,2200.0
Chandanagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
Nanakramguda,2 BHK,930.0,2.0,39.0,2,4193.548387096775
Gopanpally,2 BHK,1380.0,2.0,60.0,2,4347.826086956522
Serilingampally,4 BHK,2483.0,5.0,212.0,4,8538.058799838904
Somajiguda,2 BHK,1166.0,2.0,55.0,2,4716.981132075472
Banjara Hills,2 BHK,1050.0,2.0,65.0,2,6190.476190476191
Banjara Hills,3 BHK,2023.71,3.0,275.0,3,13588.903548433324
Gachibowli,2 BHK,1200.0,2.0,46.8,2,3900.0
Nagole,3 BHK,1600.0,2.0,108.0,3,6750.0
Nagole,3 BHK,1935.0,3.0,110.0,3,5684.754521963824
Kukatpally,1 BHK,451.0,1.0,29.9,1,6629.711751662971
Uppal Kalan,3 BHK,1800.0,3.0,95.0,3,5277.777777777777
Puppalaguda,3 BHK,1400.0,3.0,77.0,3,5500.0
Madhapur,3 BHK,1801.0,3.0,115.0,3,6385.341476957246
Krishna Reddy Pet,2 BHK,1160.0,2.0,44.0,2,3793.103448275862
Hitech City,2 BHK,950.0,2.0,40.0,2,4210.526315789473
AS Rao Nagar,3 BHK,1826.0,3.0,121.0,3,6626.506024096386
Banjara Hills,2 BHK,1245.0,2.0,94.0,2,7550.2008032128515
Banjara Hills,2 BHK,1145.0,2.0,45.79,2,3999.126637554585
LB Nagar,2 BHK,825.0,2.0,33.0,2,4000.0
Bolarum,3 BHK,1693.0,3.0,108.0,3,6379.208505611341
Miyapur,2 BHK,1113.27,2.0,53.0,2,4760.74986301616
Jubilee Hills,2 BHK,1460.0,2.0,58.0,2,3972.6027397260273
Jubilee Hills,2 BHK,1050.0,2.0,32.0,2,3047.6190476190477
Jubilee Hills,2 BHK,1260.0,2.0,55.0,2,4365.079365079365
Banjara Hills,2 BHK,1656.0,2.0,120.0,2,7246.376811594203
Banjara Hills,3 BHK,1208.0,3.0,45.0,3,3725.1655629139073
Madhapur,3 BHK,1910.0,3.0,161.0,3,8429.319371727748
Hitech City,4 BHK,3252.0,4.0,230.0,4,7072.570725707257
Nanakramguda,2 BHK,1175.0,2.0,82.0,2,6978.723404255319
Puppalaguda,3 BHK,2390.0,3.0,410.0,3,17154.81171548117
Nizampet,2 BHK,750.0,2.0,38.0,2,5066.666666666667
Kukatpally,3 BHK,1550.0,3.0,64.5,3,4161.290322580645
Kukatpally,3 BHK,1760.0,3.0,88.0,3,5000.0
Mehdipatnam,2 BHK,1125.0,2.0,62.0,2,5511.111111111111
Bachupally,3 BHK,1991.0,4.0,103.0,3,5173.279758915118
Bachupally,2 BHK,1060.0,2.0,26.5,2,2500.0
Bachupally,2 BHK,1105.0,2.0,75.0,2,6787.330316742082
Bachupally,2 BHK,985.0,2.0,67.0,2,6802.030456852792
Mallapur,3 BHK,1590.0,3.0,79.0,3,4968.553459119496
Kukatpally,2 BHK,1120.0,2.0,55.0,2,4910.714285714285
Mehdipatnam,2 BHK,1069.0,2.0,55.0,2,5144.9953227315245
Hitech City,3 BHK,1933.0,3.0,140.0,3,7242.628039317124
Mallapur,2 BHK,1194.0,2.0,69.0,2,5778.894472361809
Masab Tank,2 BHK,1150.0,2.0,69.0,2,6000.0
Madhura Nagar,2 BHK,1419.0,2.0,48.1,2,3389.7110641296686
Kukatpally,3 BHK,1450.0,3.0,55.0,3,3793.103448275862
Miyapur,3 BHK,1630.0,3.0,68.29,3,4189.57055214724
Miyapur,2 BHK,708.0,1.0,40.0,2,5649.717514124294
Jubilee Hills,2 BHK,1250.0,2.0,76.0,2,6080.0
Jubilee Hills,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
Kukatpally,3 BHK,1750.0,3.0,100.0,3,5714.285714285715
Madhapur,2 BHK,1404.0,2.0,71.0,2,5056.980056980057
Beeramguda,3 BHK,1715.0,2.0,95.0,3,5539.35860058309
Ghansi Bazaar,1 BHK,630.0,1.0,34.65,1,5500.0
Chintalakunta,3 BHK,1752.12,3.0,135.0,3,7704.951715635916
Kukatpally,2 BHK,1295.0,2.0,55.47,2,4283.397683397683
Gajularamaram,3 Bedroom,1800.0,3.0,252.0,3,14000.0
Gajularamaram,2 BHK,1346.0,2.0,74.03,2,5500.0
Nallakunta,2 BHK,1150.0,2.0,55.0,2,4782.608695652174
Bowenpally,4 Bedroom,3309.0,4.0,325.0,4,9821.698398307646
Nallakunta,3 BHK,1190.0,2.0,30.35,3,2550.4201680672268
Nallakunta,3 BHK,1620.0,3.0,98.0,3,6049.382716049383
Malkajgiri,11 BHK,5000.0,9.0,360.0,11,7200.0
Kompally,3 BHK,2450.0,3.0,120.0,3,4897.959183673469
Kondapur,3 BHK,1220.0,2.0,35.23,3,2887.7049180327863
Kondapur,2 BHK,850.0,2.0,30.0,2,3529.4117647058824
Jubilee Hills,2 BHK,1150.0,2.0,126.0,2,10956.521739130434
Jubilee Hills,3 BHK,1760.0,2.0,130.0,3,7386.363636363636
Jubilee Hills,2 BHK,900.0,2.0,40.0,2,4444.444444444444
Bandlaguda Jagir,2 BHK,1130.0,2.0,42.16,2,3730.973451327434
Jubilee Hills,2 BHK,1320.0,2.0,165.0,2,12500.0
Saroornagar,2 BHK,1200.0,2.0,62.0,2,5166.666666666667
Begumpet,2 BHK,929.0,2.0,50.17,2,5400.4305705059205
Banjara Hills,4 BHK,1150.0,4.0,260.0,4,22608.695652173912
Beeramguda,5 Bedroom,1200.0,5.0,190.0,5,15833.333333333334
Beeramguda,2 BHK,1130.0,2.0,60.0,2,5309.734513274337
Boduppal,3 BHK,1753.0,3.0,120.0,3,6845.407872219053
Boduppal,5 BHK,4500.0,7.0,337.0,5,7488.888888888889
Nagole,2 BHK,1196.0,2.0,94.42,2,7894.648829431439
Kukatpally,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
Kukatpally,2 BHK,1128.0,2.0,63.0,2,5585.106382978724
Beeramguda,2 BHK,1000.0,2.0,53.0,2,5300.0
Beeramguda,2 BHK,1035.0,2.0,45.0,2,4347.826086956522
Beeramguda,3 BHK,1075.0,2.0,36.0,3,3348.8372093023254
Neknampur,2 BHK,1040.0,2.0,48.5,2,4663.461538461538
Beeramguda,3 BHK,1511.0,3.0,95.0,3,6287.22700198544
Mallapur,3 BHK,1545.0,3.0,68.75,3,4449.838187702266
Nagole,2 BHK,1000.0,2.0,35.0,2,3500.0
Appa Junction Peerancheru,2 BHK,883.0,2.0,45.0,2,5096.262740656852
Appa Junction Peerancheru,2 BHK,1195.0,2.0,70.0,2,5857.740585774059
Ambedkar Nagar,2 BHK,1246.0,2.0,67.0,2,5377.2070626003215
Hafeezpet,4 BHK,2805.0,5.0,154.0,4,5490.196078431372
Saroornagar,2 BHK,1353.0,2.0,110.0,2,8130.081300813008
Bachupally,3 BHK,1599.0,3.0,125.0,3,7817.385866166354
Kondapur,2 BHK,1150.0,2.0,70.0,2,6086.95652173913
Gajularamaram,4 BHK,5230.0,6.0,465.0,4,8891.013384321224
Narsingi,2 BHK,1155.0,2.0,42.74,2,3700.4329004329006
Boduppal,3 BHK,1867.0,3.0,160.0,3,8569.89823245849
Manikonda,2 BHK,1251.0,2.0,47.0,2,3756.994404476419
Vanasthalipuram,2 BHK,1028.0,2.0,45.5,2,4426.070038910506
Amberpet,2 BHK,1222.0,2.0,45.0,2,3682.4877250409168
Gachibowli,3 BHK,1170.0,2.0,66.0,3,5641.025641025641
Gachibowli,3 BHK,2400.0,4.0,245.0,3,10208.333333333334
Bandlaguda Jagir,2 BHK,1372.0,2.0,68.0,2,4956.268221574344
Moula Ali,3 BHK,1282.0,2.0,49.0,3,3822.1528861154447
Bandlaguda Jagir,9 BHK,5000.0,9.0,210.0,9,4200.0
Moula Ali,2 BHK,1135.0,2.0,39.73,2,3500.440528634361
Kondapur,3 BHK,1325.0,2.0,90.0,3,6792.452830188679
Mehdipatnam,3 BHK,1599.0,3.0,99.0,3,6191.369606003753
Kukatpally,2 BHK,1317.5,2.0,63.77,2,4840.2277039848195
Kukatpally,3 BHK,3450.0,5.0,260.0,3,7536.231884057971
Banjara Hills,2 BHK,1102.0,2.0,53.67,2,4870.235934664247
Banjara Hills,2 BHK,1350.0,2.0,54.0,2,4000.0
Kachiguda,1 BHK,525.0,1.0,27.25,1,5190.476190476191
Kachiguda,2 BHK,656.0,2.0,25.0,2,3810.9756097560976
Kachiguda,2 BHK,1056.0,2.0,80.0,2,7575.757575757576
Kachiguda,1 BHK,595.0,1.0,33.32,1,5600.0
Kachiguda,3 BHK,2225.0,3.0,160.0,3,7191.011235955056
Kachiguda,2 BHK,1126.0,2.0,28.15,2,2500.0
Mehdipatnam,3 BHK,1490.0,3.0,84.0,3,5637.583892617449
Nacharam,3 BHK,1550.0,3.0,100.0,3,6451.612903225807
Nacharam,3 BHK,1600.0,3.0,86.0,3,5375.0
Nizampet,4 Bedroom,4144.0,4.0,315.0,4,7601.351351351352
Nizampet,3 BHK,2100.0,3.0,125.0,3,5952.380952380952
Nizampet,2 BHK,1404.0,2.0,69.3,2,4935.897435897436
Nizampet,4 Bedroom,2230.0,4.0,225.0,4,10089.686098654709
Kondapur,3 BHK,1305.0,2.0,58.7,3,4498.08429118774
Narsingi,2 BHK,1230.0,2.0,80.0,2,6504.065040650406
Kukatpally,1 BHK,715.0,1.0,46.0,1,6433.566433566433
Masab Tank,3 BHK,2500.0,3.0,313.0,3,12520.0
Kukatpally,3 BHK,1578.0,3.0,180.0,3,11406.84410646388
Nizampet,2 BHK,1020.0,2.0,40.0,2,3921.5686274509803
Malkajgiri,2 BHK,1253.0,2.0,102.0,2,8140.462889066241
Bolarum,2 BHK,1180.0,2.0,42.0,2,3559.322033898305
Bachupally,2 BHK,961.0,2.0,38.0,2,3954.2143600416234
